Ticker,date,open,high,low,close,volume
BEL,2024-01-15,184.900000,189.900000,184.100000,188.650000,24570393
BEL,2024-01-16,188.900000,190.250000,185.100000,186.800000,16471601
BEL,2024-01-17,186.300000,188.500000,183.800000,185.650000,16350370
BEL,2024-01-18,185.650000,189.000000,180.000000,188.200000,24831623
BEL,2024-01-19,190.000000,193.700000,190.000000,191.850000,22303305
BEL,2024-01-20,193.000000,195.000000,190.700000,193.400000,12654436
BEL,2024-01-23,195.250000,195.500000,184.400000,187.100000,26628471
BEL,2024-01-24,186.800000,190.200000,184.000000,189.250000,14742783
BEL,2024-01-25,190.750000,192.000000,188.300000,189.700000,12592882
BEL,2024-01-29,190.000000,193.700000,187.550000,190.900000,28919512
BEL,2024-01-30,192.000000,192.350000,187.000000,187.900000,20894159
BEL,2024-01-31,188.200000,189.100000,184.850000,185.900000,23757415
BEL,2024-02-01,187.700000,188.400000,181.550000,183.400000,27835431
BEL,2024-02-02,185.000000,187.750000,183.850000,184.600000,27710061
BEL,2024-02-05,187.000000,187.000000,178.800000,181.550000,23880364
BEL,2024-02-06,182.400000,183.550000,180.700000,183.100000,12134363
BEL,2024-02-07,184.150000,184.150000,179.650000,181.700000,14192151
BEL,2024-02-08,182.200000,187.100000,181.750000,184.800000,29094709
BEL,2024-02-09,185.500000,185.700000,176.500000,180.650000,21081134
BEL,2024-02-12,181.250000,183.100000,173.650000,174.650000,19640568
BEL,2024-02-13,174.750000,176.900000,171.750000,176.600000,13961795
BEL,2024-02-14,177.250000,182.150000,175.300000,181.600000,23449380
BEL,2024-02-15,183.000000,186.300000,182.600000,185.950000,17335763
BEL,2024-02-16,189.000000,190.400000,186.850000,188.300000,29843059
BEL,2024-02-19,189.950000,192.500000,188.300000,188.750000,25343215
BEL,2024-02-20,189.100000,191.450000,186.250000,190.650000,17809897
BEL,2024-02-21,191.300000,192.550000,187.000000,188.700000,17870782
BEL,2024-02-22,189.750000,196.000000,188.700000,194.750000,31992371
BEL,2024-02-23,196.300000,207.000000,195.950000,205.300000,76179371
BEL,2024-02-26,205.650000,206.900000,202.800000,204.250000,27013630
BEL,2024-02-27,203.550000,209.000000,203.100000,205.350000,28877205
BEL,2024-02-28,206.200000,209.000000,201.450000,205.650000,38996363
BEL,2024-02-29,205.450000,205.900000,199.750000,205.100000,24059731
BEL,2024-03-01,205.950000,208.050000,204.800000,205.600000,12949604
BEL,2024-03-02,206.000000,207.700000,205.900000,206.750000,1497553
BEL,2024-03-04,207.950000,212.950000,206.350000,209.600000,34272251
BEL,2024-03-05,211.000000,213.750000,209.850000,210.750000,24964592
BEL,2024-03-06,211.800000,213.450000,205.600000,210.450000,26236957
BEL,2024-03-07,211.450000,216.800000,211.150000,215.200000,41484038
BEL,2024-03-11,216.450000,216.450000,211.900000,212.550000,22800967
BEL,2024-03-12,211.000000,211.350000,201.500000,204.250000,34719550
BEL,2024-03-13,204.100000,205.600000,188.200000,190.300000,41620003
BEL,2024-03-14,189.000000,197.150000,186.250000,195.250000,34622781
BEL,2024-03-15,196.750000,196.750000,179.100000,188.850000,88781999
BEL,2024-03-18,190.000000,192.000000,187.050000,189.900000,22999225
BEL,2024-03-19,190.000000,192.450000,184.550000,185.400000,27819341
BEL,2024-03-20,186.900000,187.950000,182.500000,187.450000,16235947
BEL,2024-03-21,190.000000,197.500000,190.000000,196.850000,43152810
BEL,2024-03-22,196.500000,198.950000,192.750000,197.500000,31321524
BEL,2024-03-26,197.000000,200.500000,195.950000,199.400000,25723863
BEL,2024-03-27,200.000000,203.950000,198.000000,199.450000,37817130
BEL,2024-03-28,200.500000,202.450000,199.000000,201.500000,17425093
BEL,2024-04-01,205.000000,212.750000,203.750000,211.100000,45840349
BEL,2024-04-02,213.750000,222.650000,212.600000,221.000000,93873385
BEL,2024-04-03,221.700000,225.450000,218.850000,221.500000,47658754
BEL,2024-04-04,223.500000,223.900000,218.250000,220.300000,18279026
BEL,2024-04-05,220.350000,226.000000,218.750000,224.500000,25365958
BEL,2024-04-08,225.550000,225.700000,222.100000,223.550000,16422350
BEL,2024-04-09,224.800000,228.900000,221.200000,228.150000,29048035
BEL,2024-04-10,229.000000,232.850000,226.500000,228.750000,37218693
BEL,2024-04-12,231.300000,235.400000,230.550000,233.500000,57174716
BEL,2024-04-15,230.000000,238.000000,226.000000,234.450000,51676313
BEL,2024-04-16,232.500000,236.950000,230.000000,233.450000,32508661
BEL,2024-04-18,235.600000,237.400000,229.200000,231.150000,18623078
BEL,2024-04-19,228.550000,234.500000,225.700000,233.300000,27227241
