Ticker,close,date,high,low,month,open,volume
TITAN,3609.75,2024-04-24 05:30:00,3644.85,3580.05,2024-04,3642.00,652811
TITAN,3571.10,2024-04-25 05:30:00,3602.50,3541.00,2024-04,3595.00,1889163
TITAN,3584.80,2024-04-26 05:30:00,3593.25,3556.30,2024-04,3588.00,798783
TITAN,3604.85,2024-04-29 05:30:00,3613.45,3573.15,2024-04,3585.00,703524
TITAN,3589.25,2024-04-30 05:30:00,3619.50,3580.00,2024-04,3602.65,963220
TITAN,3568.45,2024-05-02 05:30:00,3598.00,3546.30,2024-05,3585.00,1435891
TITAN,3533.90,2024-05-03 05:30:00,3599.00,3492.00,2024-05,3595.00,1681592
TITAN,3280.15,2024-05-06 05:30:00,3488.80,3257.00,2024-05,3476.00,6891728
TITAN,3270.90,2024-05-07 05:30:00,3332.00,3227.00,2024-05,3330.00,3111444
TITAN,3259.85,2024-05-08 05:30:00,3281.00,3238.45,2024-05,3275.40,2054981
TITAN,3245.70,2024-05-09 05:30:00,3322.50,3233.00,2024-05,3259.85,1860654
TITAN,3289.85,2024-05-10 05:30:00,3306.20,3242.75,2024-05,3258.10,1307103
TITAN,3253.65,2024-05-13 05:30:00,3308.00,3230.50,2024-05,3307.50,1294603
TITAN,3288.90,2024-05-14 05:30:00,3308.00,3250.00,2024-05,3250.00,620163
TITAN,3268.55,2024-05-15 05:30:00,3306.45,3260.00,2024-05,3304.00,657036
TITAN,3333.90,2024-05-16 05:30:00,3348.00,3251.30,2024-05,3276.30,1404971
TITAN,3361.15,2024-05-17 05:30:00,3368.00,3308.00,2024-05,3347.95,1194228
TITAN,3362.55,2024-05-18 05:30:00,3376.00,3345.00,2024-05,3376.00,56642
TITAN,3377.00,2024-05-21 05:30:00,3380.30,3351.00,2024-05,3355.00,827674
TITAN,3383.85,2024-05-22 05:30:00,3403.10,3360.00,2024-05,3384.75,626567
TITAN,3452.05,2024-05-23 05:30:00,3460.40,3377.75,2024-05,3383.00,977789
TITAN,3412.40,2024-05-24 05:30:00,3455.05,3404.20,2024-05,3452.10,878625
TITAN,3403.40,2024-05-27 05:30:00,3436.30,3390.30,2024-05,3423.95,804488
TITAN,3409.40,2024-05-28 05:30:00,3423.00,3392.15,2024-05,3404.00,548576
TITAN,3380.40,2024-05-29 05:30:00,3418.00,3371.10,2024-05,3405.35,519533
TITAN,3271.85,2024-05-30 05:30:00,3365.00,3254.00,2024-05,3365.00,2365535
TITAN,3241.90,2024-05-31 05:30:00,3328.80,3216.75,2024-05,3298.00,2524214
TITAN,3261.20,2024-06-03 05:30:00,3332.95,3250.00,2024-06,3310.00,1378542
TITAN,3238.95,2024-06-04 05:30:00,3295.20,3055.65,2024-06,3261.20,2934800
TITAN,3317.65,2024-06-05 05:30:00,3334.00,3201.05,2024-06,3266.00,1396386
TITAN,3321.65,2024-06-06 05:30:00,3360.00,3290.75,2024-06,3329.00,1825503
TITAN,3444.05,2024-06-07 05:30:00,3456.60,3294.40,2024-06,3294.40,2084099
TITAN,3422.20,2024-06-10 05:30:00,3452.00,3390.00,2024-06,3443.00,1655552
TITAN,3410.70,2024-06-11 05:30:00,3438.30,3401.90,2024-06,3418.20,1086157
TITAN,3382.30,2024-06-12 05:30:00,3418.90,3370.85,2024-06,3411.35,2054168
TITAN,3472.20,2024-06-13 05:30:00,3477.10,3390.00,2024-06,3424.95,1753028
TITAN,3530.05,2024-06-14 05:30:00,3535.00,3479.00,2024-06,3490.00,2346892
TITAN,3589.00,2024-06-18 05:30:00,3625.00,3538.00,2024-06,3554.80,1585048
TITAN,3462.35,2024-06-19 05:30:00,3595.00,3456.00,2024-06,3595.00,1862394
TITAN,3435.95,2024-06-20 05:30:00,3490.00,3418.10,2024-06,3474.00,2377432
TITAN,3399.75,2024-06-21 05:30:00,3473.65,3383.40,2024-06,3430.70,2707405
TITAN,3412.35,2024-06-24 05:30:00,3429.00,3372.30,2024-06,3380.35,645002
TITAN,3402.45,2024-06-25 05:30:00,3423.40,3384.90,2024-06,3412.55,1299560
TITAN,3372.75,2024-06-26 05:30:00,3401.50,3370.00,2024-06,3401.50,1485709
TITAN,3380.60,2024-06-27 05:30:00,3392.50,3361.05,2024-06,3370.00,1462935
TITAN,3404.20,2024-06-28 05:30:00,3419.90,3366.35,2024-06,3380.60,1005498
TITAN,3431.45,2024-07-01 05:30:00,3435.00,3381.50,2024-07,3382.00,1001832
TITAN,3399.65,2024-07-02 05:30:00,3450.00,3385.30,2024-07,3446.00,878947
TITAN,3360.25,2024-07-03 05:30:00,3426.95,3341.90,2024-07,3420.80,980605
TITAN,3336.00,2024-07-04 05:30:00,3369.90,3330.00,2024-07,3365.00,741143
TITAN,3269.35,2024-07-05 05:30:00,3332.00,3257.00,2024-07,3332.00,2001382
TITAN,3156.20,2024-07-08 05:30:00,3204.00,3126.10,2024-07,3204.00,5323920
TITAN,3215.15,2024-07-09 05:30:00,3222.05,3165.00,2024-07,3170.00,2044328
TITAN,3225.00,2024-07-10 05:30:00,3252.70,3190.50,2024-07,3217.75,1437517
TITAN,3248.60,2024-07-11 05:30:00,3258.75,3230.00,2024-07,3246.95,1105185
TITAN,3229.85,2024-07-12 05:30:00,3269.00,3220.05,2024-07,3266.00,1496692
TITAN,3224.20,2024-07-15 05:30:00,3252.40,3205.40,2024-07,3241.75,1243810
TITAN,3234.05,2024-07-16 05:30:00,3251.00,3224.10,2024-07,3227.95,501336
TITAN,3262.10,2024-07-18 05:30:00,3269.10,3206.00,2024-07,3232.95,1086374
TITAN,3259.00,2024-07-19 05:30:00,3279.00,3235.00,2024-07,3262.05,1111191
TITAN,3254.45,2024-07-22 05:30:00,3273.40,3223.20,2024-07,3250.00,696255
TITAN,3466.85,2024-07-23 05:30:00,3490.00,3232.15,2024-07,3255.10,7159507
TITAN,3478.40,2024-07-24 05:30:00,3552.50,3462.15,2024-07,3470.00,3862140
TITAN,3405.80,2024-07-25 05:30:00,3454.40,3384.45,2024-07,3415.00,1476422
TITAN,3494.15,2024-07-26 05:30:00,3501.70,3393.00,2024-07,3405.80,1830745
TITAN,3411.70,2024-07-29 05:30:00,3499.55,3388.00,2024-07,3495.00,2213293
TITAN,3468.25,2024-07-30 05:30:00,3479.00,3410.60,2024-07,3424.95,1316880
TITAN,3458.95,2024-07-31 05:30:00,3499.90,3446.55,2024-07,3479.05,1361595
TITAN,3468.35,2024-08-01 05:30:00,3492.00,3442.50,2024-08,3475.00,879399
TITAN,3462.35,2024-08-02 05:30:00,3477.90,3410.00,2024-08,3415.00,1168195
TITAN,3375.95,2024-08-05 05:30:00,3459.00,3316.50,2024-08,3320.05,1932064
TITAN,3335.10,2024-08-06 05:30:00,3416.35,3321.10,2024-08,3380.95,976535
TITAN,3326.25,2024-08-07 05:30:00,3368.85,3317.05,2024-08,3360.00,1277139
TITAN,3296.50,2024-08-08 05:30:00,3359.95,3283.90,2024-08,3337.00,1280733
TITAN,3331.70,2024-08-09 05:30:00,3350.00,3285.10,2024-08,3350.00,1019809
TITAN,3320.85,2024-08-12 05:30:00,3345.00,3295.35,2024-08,3331.65,874598
TITAN,3383.55,2024-08-13 05:30:00,3404.75,3305.40,2024-08,3330.00,1314371
TITAN,3402.15,2024-08-14 05:30:00,3416.20,3356.85,2024-08,3390.00,997803
TITAN,3444.75,2024-08-16 05:30:00,3450.10,3370.20,2024-08,3410.00,1161982
TITAN,3464.85,2024-08-19 05:30:00,3504.20,3436.20,2024-08,3436.20,1135205
TITAN,3474.90,2024-08-20 05:30:00,3483.10,3454.40,2024-08,3480.00,526591
TITAN,3560.40,2024-08-21 05:30:00,3582.00,3454.55,2024-08,3474.90,1990034
TITAN,3604.40,2024-08-22 05:30:00,3625.00,3553.70,2024-08,3574.95,1531544
TITAN,3570.00,2024-08-23 05:30:00,3622.85,3544.00,2024-08,3611.45,1173387
TITAN,3630.20,2024-08-26 05:30:00,3640.00,3574.05,2024-08,3592.00,1156681
TITAN,3551.25,2024-08-27 05:30:00,3658.80,3530.50,2024-08,3630.20,1169007
TITAN,3527.50,2024-08-28 05:30:00,3579.95,3519.90,2024-08,3559.65,727481
TITAN,3533.20,2024-08-29 05:30:00,3553.75,3510.00,2024-08,3537.00,927472
TITAN,3565.15,2024-08-30 05:30:00,3598.00,3542.50,2024-08,3550.00,2116894
TITAN,3587.55,2024-09-02 05:30:00,3601.95,3552.00,2024-09,3565.15,718800
